23:24:00: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
23:24:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | create | 60] Command instance created
23:24:00: [INFO] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 64] Command object started
23:24:00: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 4.0)
23:24:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 1.0)
23:24:01: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.6666666666666666)
23:24:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.5)
23:24:02: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.4)
23:24:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.3333333333333333)
23:24:03: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 0.0, 0.2857142857142857)
23:24:04: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 2.5, 0.25)
23:24:04: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 4.444444444444445, 0.2222222222222222)
23:24:05: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (0.0, 6.0, 0.2)
23:24:05: [DEBUG] [C:\Users\Waterloo\School\WARG\Onboard\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Avg Velocity:  (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
